username,mediacount,followers,followees,has_viewable_story,language,new_feature,result
nyx.ynn,0,36,29,0,5,42,0
beingsalmankhan,1460,69517142,40,0,5,42,1
paruluniversity,6178,189367,86,1,5,42,1
iamsrk,844,47571420,6,0,5,42,1
mj_editz.03,178,1059,32,0,5,42,1
narendramodi,829,91614027,0,1,5,42,0
dualipa,217,87641068,4,1,5,42,1
taylorswift,668,284117745,0,0,5,42,0
its_kunj_khanpara_,2,1119,386,0,5,42,0
nandan__09_,0,284,247,0,5,42,0
nyx.ynn,0,35,29,0,5,42,0
wowsome2.0,1,328,25,0,5,42,0
beingsalmankhan,1459,69629562,42,1,5,42,1
alluarjunonline,620,26465935,1,0,5,42,0
wowsome2.0,1,326,22,0,5,42,0
samantha,3815,139864,1043,0,5,42,1
samantha,3815,139864,1043,0,5,42,1
wowsome2.0,1,326,22,0,5,42,0
wowsome2.0,1,326,22,0,5,42,0
iamsrk,843,47679563,6,0,5,42,1
__lavesh__02__,8,396,365,1,5,42,1
goll_gappaaa,20,449,720,0,5,42,0
mainly_krishna_,55,1639,357,0,5,42,0
chandni_thakkar08,110,306,92,0,5,42,1
bhumi_ravi_bhoi,64,625,622,0,5,42,0
parth.2106,56,318,339,0,5,42,0
payalkharwar17,12,211,99,0,5,42,0
beingsalmankhan,1459,69629702,42,1,5,42,1
beingsalmankhan,1458,69766814,42,0,5,42,1
nyx.ynn,0,34,29,0,5,42,0
bloodymoon_09,0,84,177,0,5,42,0
beingsalmankhan,1459,69860258,42,0,5,42,1
its_kunj_khanpara_,2,1132,399,0,5,42,0
paruluniversity,6265,193686,90,1,5,42,1
_.rohan._12_,3,719,478,0,5,42,0
elvish_yadav,1136,16750705,606,1,5,42,1
bjp4india,11224,8396051,3,0,5,42,1
incindia,24644,7035804,58,0,5,42,1
paruluniversity,6265,193685,90,1,5,42,1
paruluniversity,6265,193685,90,1,5,42,1
beingsalmankhan,1459,69860905,42,0,5,42,1
dualipa,281,87450240,4,1,5,42,1
goll_gappaaa,19,395,648,0,5,42,0
dualipa,281,87450242,4,1,5,42,1
dualipa,281,87450202,4,1,5,42,1
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,395,648,0,5,42,0
goll_gappaaa,19,391,651,0,5,42,0
goll_gappaaa,19,391,651,0,5,42,0
beingsalmankhan,1472,69885224,43,0,5,42,1
goll_gappaaa,19,391,651,0,5,42,0
goll_gappaaa,19,391,651,0,5,42,0
beingsalmankhan,1472,69884926,43,0,5,42,1
iamsrk,857,47755849,6,0,5,42,1
iamsrk,857,47755821,6,0,5,42,1
goll_gappaaa,19,394,650,0,5,42,0
goll_gappaaa,18,396,658,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,396,656,0,5,42,0
goll_gappaaa,18,391,657,0,5,42,1,0.4,1,0.16666666666666666,0,50,1,1,18,391,657,0,0.5951293759512938,0.04603580562659847,1
iamsrk,859,47812207,6,0,5,42,1,0.2,3,0.4666666666666667,0,0,0,0,859,47812207,6,1,7968701.166666667,1.796612317017702e-05,1
